wd,ws,freq_val
0.0,0.0,0.006306921675774135
0.0,1.0,0.011917501517911355
0.0,2.0,0.02331511839708561
0.0,3.0,0.02508158773527626
0.0,4.0,0.020385549483910137
0.0,5.0,0.015687613843351548
0.0,6.0,0.010500151791135398
0.0,7.0,0.005769960534304797
0.0,8.0,0.0030320279295689132
0.0,9.0,0.0019637978142076503
0.0,10.0,0.0009771554341226473
0.0,11.0,0.0004933211900425015
0.0,12.0,0.0003111718275652702
0.0,13.0,0.00023527625986642382
0.0,14.0,0.0001366120218579235
0.0,15.0,6.640862173649058e-05
0.0,16.0,7.210078931390408e-05
0.0,17.0,6.830601092896175e-05
0.0,18.0,5.502428658166363e-05
0.0,19.0,4.553734061930784e-05
0.0,20.0,2.4666059502125077e-05
0.0,21.0,5.692167577413479e-06
0.0,22.0,0.0
0.0,23.0,0.0
0.0,24.0,0.0
0.0,25.0,0.0
30.0,0.0,0.0042330752884031575
30.0,1.0,0.009756375227686704
30.0,2.0,0.016772920461445052
30.0,3.0,0.016008272616879173
30.0,4.0,0.0114867941712204
30.0,5.0,0.006604811778992107
30.0,6.0,0.0035082726168791743
30.0,7.0,0.001874620522161506
30.0,8.0,0.0010758196721311476
30.0,9.0,0.00048762902246508806
30.0,10.0,0.000284608378870674
30.0,11.0,0.00011384335154826958
30.0,12.0,6.830601092896175e-05
30.0,13.0,2.6563448694596238e-05
30.0,14.0,1.5179113539769278e-05
30.0,15.0,1.8973891924711598e-06
30.0,16.0,0.0
30.0,17.0,0.0
30.0,18.0,0.0
30.0,19.0,0.0
30.0,20.0,0.0
30.0,21.0,0.0
30.0,22.0,0.0
30.0,23.0,0.0
30.0,24.0,0.0
30.0,25.0,0.0
60.0,0.0,0.0033090467516697026
60.0,1.0,0.008063904068002429
60.0,2.0,0.01333485124468731
60.0,3.0,0.012302671523983
60.0,4.0,0.007314435336976321
60.0,5.0,0.003417197935640559
60.0,6.0,0.0017076502732240439
60.0,7.0,0.0007456739526411658
60.0,8.0,0.0002959927140255009
60.0,9.0,0.00019543108682452945
60.0,10.0,6.261384335154827e-05
60.0,11.0,6.830601092896175e-05
60.0,12.0,3.7947783849423196e-05
60.0,13.0,2.2768670309653916e-05
60.0,14.0,1.1384335154826958e-05
60.0,15.0,0.0
60.0,16.0,0.0
60.0,17.0,0.0
60.0,18.0,0.0
60.0,19.0,0.0
60.0,20.0,0.0
60.0,21.0,0.0
60.0,22.0,0.0
60.0,23.0,0.0
60.0,24.0,0.0
60.0,25.0,0.0
90.0,0.0,0.004462659380692168
90.0,1.0,0.012367182756527019
90.0,2.0,0.015850789313904066
90.0,3.0,0.010240209471766848
90.0,4.0,0.003956056466302368
90.0,5.0,0.000986642380085003
90.0,6.0,0.00025804493017607773
90.0,7.0,9.486945962355799e-05
90.0,8.0,3.225561627200972e-05
90.0,9.0,1.5179113539769278e-05
90.0,10.0,5.692167577413479e-06
90.0,11.0,1.8973891924711598e-06
90.0,12.0,3.7947783849423195e-06
90.0,13.0,0.0
90.0,14.0,0.0
90.0,15.0,0.0
90.0,16.0,0.0
90.0,17.0,0.0
90.0,18.0,0.0
90.0,19.0,0.0
90.0,20.0,0.0
90.0,21.0,0.0
90.0,22.0,0.0
90.0,23.0,0.0
90.0,24.0,0.0
90.0,25.0,0.0
120.0,0.0,0.0028669550698239223
120.0,1.0,0.00885132058287796
120.0,2.0,0.013881299332119006
120.0,3.0,0.013905965391621129
120.0,4.0,0.01158166363084396
120.0,5.0,0.007242334547662417
120.0,6.0,0.003610731633272617
120.0,7.0,0.0015292956891317547
120.0,8.0,0.0005540376442015786
120.0,9.0,0.00023337887067395265
120.0,10.0,0.00010625379477838495
120.0,11.0,4.3639951426836675e-05
120.0,12.0,2.84608378870674e-05
120.0,13.0,1.5179113539769278e-05
120.0,14.0,1.8973891924711598e-06
120.0,15.0,5.692167577413479e-06
120.0,16.0,5.692167577413479e-06
120.0,17.0,3.7947783849423195e-06
120.0,18.0,0.0
120.0,19.0,1.8973891924711598e-06
120.0,20.0,0.0
120.0,21.0,0.0
120.0,22.0,0.0
120.0,23.0,0.0
120.0,24.0,0.0
120.0,25.0,0.0
150.0,0.0,0.0035234517304189436
150.0,1.0,0.009608378870673952
150.0,2.0,0.01581853369763206
150.0,3.0,0.01855836369156041
150.0,4.0,0.015509259259259259
150.0,5.0,0.009608378870673952
150.0,6.0,0.006908394049787493
150.0,7.0,0.004132513661202186
150.0,8.0,0.0022028688524590163
150.0,9.0,0.0013964784456587736
150.0,10.0,0.0006792653309046752
